time,price
1472428235,11.00
1472431836,11.01
1472435436,11.01
1472439037,11.01
1472442638,10.98
1472446239,10.97
1472449839,10.95
1472453440,10.96
1472457041,10.86
1472460642,10.93
1472464242,11.10
1472467843,11.09
1472471444,11.07
1472475045,11.07
1472478646,11.09
1472482247,11.10
1472485848,11.03
1472489449,11.02
1472493050,11.01
1472496651,10.98
1472500252,10.93
1472503853,10.90
1472507454,10.88
1472511055,10.89
1472514655,10.90
1472518256,11.03
1472521858,10.98
1472525458,10.96
1472529062,10.96
1472532663,11.03
1472536264,11.05
1472539864,11.05
1472543465,11.04
1472547066,10.98
1472550667,11.05
1472554268,11.16
1472557869,11.11
1472561470,11.10
1472565070,11.09
1472568671,11.08
1472572272,11.06
1472575874,11.10
1472579475,11.07
1472583076,11.08
1472586677,11.13
1472590278,11.19
1472593879,11.19
1472597480,11.21
1472601081,11.24
1472604682,11.23
1472608284,11.26
1472611885,11.27
1472615486,11.25
1472619088,11.24
1472622689,11.21
1472626290,11.21
1472629890,11.20
1472633491,11.20
1472637092,11.20
1472640693,11.21
1472644294,11.25
1472647895,11.25
1472651496,11.26
1472655097,11.24
1472658698,11.25
1472662298,11.28
1472665899,11.36
1472669500,11.52
1472673102,11.49
1472676704,11.51
1472680305,11.48
1472683989,11.42
1472687590,11.47
1472691193,11.44
1472694794,11.49
1472698395,11.55
1472701995,11.60
1472705596,11.69
1472709197,11.71
1472712798,11.95
1472716437,12.05
1472720037,12.15
1472723638,12.15
1472727239,12.26
1472730840,12.29
1472734442,12.52
1472738042,12.43
1472741643,12.32
1472745245,12.37
1472748848,12.32
1472752449,12.16
1472756050,12.02
1472759652,12.10
1472763253,12.13
1472766853,12.28
1472770454,12.27
1472774055,12.25
1472777656,12.20
1472781258,12.24
1472784858,12.21
1472788459,12.16
1472792060,12.03
1472795661,11.96
1472799262,11.98
1472802862,12.02
1472806463,12.03
1472810064,11.97
1472813665,11.98
1472817266,11.95
1472820933,12.02
1472824533,12.07
1472828137,12.14
1472831738,12.14
1472835339,12.14
